# Name1  Surname1	Name2 Surname2
# Group Nickname
# ML-CUP19
# 02/11/2019
1,0.3745401188473625,0.9507143064099162
2,0.7319939418114051,0.5986584841970366
3,0.15601864044243652,0.15599452033620265
4,0.05808361216819946,0.8661761457749352
5,0.6011150117432088,0.7080725777960455
6,0.020584494295802447,0.9699098521619943
7,0.8324426408004217,0.21233911067827616
8,0.18182496720710062,0.18340450985343382
9,0.3042422429595377,0.5247564316322378
10,0.43194501864211576,0.2912291401980419
11,0.6118528947223795,0.13949386065204183
12,0.29214464853521815,0.3663618432936917
13,0.45606998421703593,0.7851759613930136
14,0.19967378215835974,0.5142344384136116
15,0.5924145688620425,0.046450412719997725
16,0.6075448519014384,0.17052412368729153
17,0.06505159298527952,0.9488855372533332
18,0.9656320330745594,0.8083973481164611
19,0.3046137691733707,0.09767211400638387
20,0.6842330265121569,0.4401524937396013
21,0.12203823484477883,0.4951769101112702
22,0.034388521115218396,0.9093204020787821
23,0.2587799816000169,0.662522284353982
24,0.31171107608941095,0.5200680211778108
25,0.5467102793432796,0.18485445552552704
26,0.9695846277645586,0.7751328233611146
27,0.9394989415641891,0.8948273504276488
28,0.5978999788110851,0.9218742350231168
29,0.0884925020519195,0.1959828624191452
30,0.045227288910538066,0.32533033076326434
31,0.388677289689482,0.2713490317738959
32,0.8287375091519293,0.3567533266935893
33,0.28093450968738076,0.5426960831582485
34,0.14092422497476265,0.8021969807540397
35,0.07455064367977082,0.9868869366005173
36,0.7722447692966574,0.1987156815341724
37,0.005522117123602399,0.8154614284548342
38,0.7068573438476171,0.7290071680409873
39,0.7712703466859457,0.07404465173409036
40,0.3584657285442726,0.11586905952512971
41,0.8631034258755935,0.6232981268275579
42,0.3308980248526492,0.06355835028602363
43,0.3109823217156622,0.32518332202674705
44,0.7296061783380641,0.6375574713552131
45,0.8872127425763265,0.4722149251619493
46,0.1195942459383017,0.713244787222995
47,0.7607850486168974,0.5612771975694962
48,0.770967179954561,0.49379559636439074
49,0.5227328293819941,0.42754101835854963
50,0.02541912674409519,0.10789142699330445
51,0.03142918568673425,0.6364104112637804
52,0.3143559810763267,0.5085706911647028
53,0.907566473926093,0.24929222914887494
54,0.41038292303562973,0.7555511385430487
55,0.22879816549162246,0.07697990982879299
56,0.289751452913768,0.16122128725400442
57,0.9296976523425731,0.808120379564417
58,0.6334037565104235,0.8714605901877177
59,0.8036720768991145,0.18657005888603584
60,0.8925589984899778,0.5393422419156507
61,0.8074401551640625,0.8960912999234932
62,0.3180034749718639,0.11005192452767676
63,0.22793516254194168,0.4271077886262563
64,0.8180147659224931,0.8607305832563434
65,0.006952130531190703,0.5107473025775657
66,0.417411003148779,0.22210781047073025
